id,name,language,type,tei_file,base_url
wellmann,Wellmann (1907-1914),grc,critical,src/wellman (3).xml,
sprengel,Sprengel,grc,critical,,
desmoulins,Desmoulins,fra,translation,,
matthioli,Matthioli,lat,commentary,src/matthioli.xml,
monardes,Monardes,fra,commentary,,
laguna,Laguna,spa,translation,src/sl-esp.xml,
wechel,Wechel,lat,edition,,
ruellius,Ruellius,lat,translation,,
lusitanus,Lusitanus,lat,commentary,,
berendes,Berendes,deu,translation,src/berendes (1).xml,
barbaro,Barbaro,lat,translation,,
beck,Beck,eng,translation,src/beck (3).xml,
gunther,Gunther,eng,translation,src/gunther (1).xml,
